"Realised P&L e-Statement from 19 Nov,2024 to 18 May,2025"

Summary
Intraday Speculative Profit,21350.455899999422
Short Term Gains,72680.85099999973
Long Term Gains,0.0
Intraday Speculative Turnover,21696.45789999943
Dividends,7045.0

Asset Class,Scrip Name,Trading Symbol,Option Type,Expiry Date,Buy Date,Buy Price,Sell Quantity,Sell Date,Sell Price,Gain/Loss,Gain/Loss Type
Equity,Bharat Dynamics Ltd.,BDL,,,2024-12-20,1219.44412333333,30,2025-01-17,1240.72167666667,638.3266000001981,ShortTerm
Equity,Bharat Dynamics Ltd.,BDL,,,2025-01-22,1201.41013666667,12,2025-01-23,1238.73175833333,447.8594599999187,ShortTerm
Equity,Bharat Dynamics Ltd.,BDL,,,2025-01-22,1201.41013666667,18,2025-01-23,1238.71508333333,671.4890399998808,ShortTerm
Equity,Bharat Dynamics Ltd.,BDL,,,2025-04-25,1376.00017777778,2,2025-04-25,1397.80075,43.60114444444025,Speculative
Equity,Bharat Dynamics Ltd.,BDL,,,2025-04-25,1376.00017777778,25,2025-04-25,1409.60079583333,840.0154513887514,Speculative
Equity,Bharat Dynamics Ltd.,BDL,,,2025-04-25,1375.04981304348,23,2025-04-25,1409.60079583333,794.6726041665493,Speculative
Equity,Bharti Airtel Ltd.,BHARTIARTL,,,2024-12-17,1614.923394,50,2025-01-14,1619.325276,220.0941000000057,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-04-07,5989.44744,10,2025-04-23,7291.78879459459,13023.413545945905,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-04-03,7170.96581428571,7,2025-04-23,7291.78879459459,845.7608621621648,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-04-03,7206.529,6,2025-04-23,7291.78879459459,511.5587675675397,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-04-03,7475.97687142857,7,2025-04-23,7291.78879459459,-1289.316537837858,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-04-03,7515.22241428571,7,2025-04-23,7291.78879459459,-1564.0353378378395,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-05-06,7405.69548333333,6,2025-05-08,7751.29943888889,2073.6237333333593,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-05-06,7441.13487142857,7,2025-05-08,7751.29943888889,2171.151972222244,ShortTerm
Equity,Coforge Ltd.,COFORGE,,,2025-05-06,7550.54911304348,23,2025-05-08,7751.29943888889,4617.257494444427,ShortTerm
Equity,Cyient Ltd.,CYIENT,,,2025-04-25,1140.547498,50,2025-04-25,1179.195254,1932.3878000000036,Speculative
Equity,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,,,2025-04-25,1602.618632,25,2025-04-28,1657.966532,1383.6974999999995,ShortTerm
Equity,Garden Reach Shipbuilders & Engineers Ltd.,GRSE,,,2025-04-25,1627.509538,50,2025-04-28,1657.966532,1522.8496999999948,ShortTerm
Equity,HCL Technologies Ltd.,HCLTECH,,,2025-01-14,1812.125565,20,2025-01-22,1823.28388,223.16629999999805,ShortTerm
Equity,Knowledge Marine & Engineering Works Ltd.,KMEW,,,2025-01-27,1870.46768,3,2025-01-30,1903.02433333333,97.6699599999904,ShortTerm
Equity,Knowledge Marine & Engineering Works Ltd.,KMEW,,,2025-01-27,1870.46768,2,2025-01-30,1902.79095,64.64654000000019,ShortTerm
Equity,Kotak Mahindra Bank Ltd.,KOTAKBANK,,,2025-05-05,2060.608426,50,2025-05-05,2083.934342,1166.2958000000117,Speculative
Equity,Mahindra & Mahindra Ltd.,M&M,,,2025-05-08,3044.068528,50,2025-05-12,3068.344714,1213.8093000000026,ShortTerm
Equity,Mahindra & Mahindra Ltd.,M&M,,,2025-05-09,2985.6244,1,2025-05-13,3078.1689,92.54449999999997,ShortTerm
Equity,Mazagon Dock Shipbuilders Ltd.,MAZDOCK,,,2025-04-09,2290.93629,30,2025-04-09,2378.52711333333,2627.7246999998943,Speculative
Equity,Mazagon Dock Shipbuilders Ltd.,MAZDOCK,,,2025-04-25,2590.643626,50,2025-04-25,2648.777,2906.6687,Speculative
Equity,Mazagon Dock Shipbuilders Ltd.,MAZDOCK,,,2025-05-12,2893.906694,50,2025-05-13,2946.465332,2627.9319000000214,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-04-01,7605.7316,3,2025-04-02,7750.12964615385,433.1941384615511,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-04-01,7599.34545,10,2025-04-02,7750.12964615385,1507.8419615385064,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-08,8311.41934,15,2025-05-12,8590.5009575,4186.2242625,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8437.5628,2,2025-05-12,8590.5009575,305.87631500000134,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8425.7628,1,2025-05-12,8590.5009575,164.73815749999994,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8425.76283333333,3,2025-05-12,8590.5009575,494.21437250000963,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8425.7628,5,2025-05-12,8590.5009575,823.6907874999997,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8504.66545,4,2025-05-12,8590.5009575,343.3420299999998,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8502.737925,8,2025-05-12,8590.5009575,702.1042600000073,ShortTerm
Equity,Oracle Financial Services Software Ltd.,OFSS,,,2025-05-06,8498.76545,2,2025-05-12,8590.5009575,183.47101499999917,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-01,5226.303925,4,2025-04-02,5358.19828421053,527.5774368421189,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-01,5220.403925,4,2025-04-02,5358.19828421053,551.1774368421211,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-01,5220.4039,2,2025-04-02,5358.19828421053,275.5887684210593,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-01,5220.4039,1,2025-04-02,5358.19828421053,137.79438421052964,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-01,5222.3339125,8,2025-04-02,5358.19828421053,1086.9149736842373,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-03,4797.43782,10,2025-04-23,5204.03935952381,4066.0153952381006,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-03,4847.0463,12,2025-04-23,5204.03935952381,4283.916714285722,ShortTerm
Equity,Persistent Systems Ltd.,PERSISTENT,,,2025-04-03,5007.82866,20,2025-04-23,5204.03935952381,3924.2139904762007,ShortTerm
